trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
73,0,73,0,10,207.14667159999954,207.14667159999954,0.022758800005249213,[-0.41203703703703703],[-0.09027777777777778],[1],[0],[0],[2.0004093000025023],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
74,0,74,0,10,209.1861476999984,209.1861476999984,0.03310620000411291,[0.08912037037037036],[0.4722222222222222],[1],[0],[0],[1.5166737999970792],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
75,0,75,0,5,210.7125565000024,210.7125565000024,0.012411499999871012,[0.02662037037037037],[0.2800925925925926],[1],[0],[0],[1.2699658000055933],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
76,0,76,0,10,212.00971990000107,212.00971990000107,0.023895900005300064,[-0.05787037037037037],[0.2349537037037037],[1],[0],[0],[1.1784896999961347],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
77,0,77,0,5,213.20288509999955,213.20288509999955,0.012238199997227639,[-0.42939814814814814],[-0.03356481481481482],[1],[0],[0],[1.4547182000023895],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
78,0,78,0,10,214.6874792000017,214.6874792000017,0.02254250000260072,[0.24074074074074073],[-0.18055555555555555],[1],[0],[0],[1.2367264999993495],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
79,0,79,0,5,215.93610279999848,215.93610279999848,0.012323900002229493,[0.034722222222222224],[0.06597222222222222],[1],[0],[0],[1.2820076999996672],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
80,0,80,0,10,217.24733740000374,217.24733740000374,0.022392199993191753,[-0.20023148148148148],[0.08449074074074074],[1],[0],[0],[1.2239198000024771],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
81,0,81,0,5,218.4821665999989,218.4821665999989,0.012561899995489512,[-0.22106481481481483],[-0.40046296296296297],[1],[0],[0],[1.447658799996134],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
82,0,82,0,5,219.94575640000403,219.94575640000403,0.013317600001755636,[0.14467592592592593],[-0.41782407407407407],[1],[0],[0],[1.2815422999992734],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
83,0,83,0,5,221.24325279999903,221.24325279999903,0.01394609999988461,[0.4212962962962963],[-0.24074074074074073],[1],[0],[0],[1.3562891999972635],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
84,0,84,0,10,222.6304483999993,222.6304483999993,0.022662600000330713,[0.13194444444444445],[0.02199074074074074],[1],[0],[0],[1.708715900000243],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
85,0,85,0,10,224.36485790000006,224.36485790000006,0.023476800000935327,[-0.08564814814814815],[0.09837962962962964],[1],[0],[0],[1.3197389999986626],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
86,0,86,0,5,225.69675270000153,225.69675270000153,0.013042699996731244,[0.17824074074074073],[-0.07407407407407407],[1],[0],[0],[1.7177267000006395],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
87,0,87,0,5,227.4310134000043,227.4310134000043,0.012600700007169507,[-0.005787037037037037],[0.19675925925925927],[1],[0],[0],[1.5888294000033056],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
88,0,88,0,10,229.04749000000447,229.04749000000447,0.023165099999459926,[0.1423611111111111],[-0.4826388888888889],[1],[0],[0],[2.302365600000485],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
89,0,89,0,5,231.36444360000314,231.36444360000314,0.01253279999946244,[0.1423611111111111],[0.34953703703703703],[1],[0],[0],[1.7950313999972423],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
90,0,90,0,10,233.18890120000287,233.18890120000287,0.025458800002525095,[0.2488425925925926],[0.23032407407407407],[1],[0],[0],[1.5124276999995345],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
91,0,91,0,5,234.71540580000146,234.71540580000146,0.012698999998974614,[0.11805555555555555],[0.29050925925925924],[1],[0],[0],[1.418542499995965],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
92,0,92,0,5,236.15116729999863,236.15116729999863,0.013698499999009073,[-0.22685185185185186],[-0.4675925925925926],[1],[0],[0],[1.648720699995465],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
93,0,93,0,10,237.8304296999995,237.8304296999995,0.023667199995543342,[0.23726851851851852],[0.19560185185185186],[1],[0],[0],[1.9017797999986215],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
94,0,94,0,5,239.75171180000325,239.75171180000325,0.016742299994803034,[0.02662037037037037],[-0.15162037037037038],[1],[0],[0],[1.638064899998426],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
95,0,95,0,5,241.40283199999976,241.40283199999976,0.01302620000205934,[-0.44907407407407407],[0.4756944444444444],[1],[0],[0],[1.890873600001214],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
96,0,96,0,5,243.31075740000233,243.31075740000233,0.01276040000084322,[-0.12037037037037036],[0.07060185185185185],[1],[0],[0],[1.6370383000030415],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
97,0,97,0,5,244.96160419999796,244.96160419999796,0.01318100000207778,[-0.43171296296296297],[0.13194444444444445],[1],[0],[0],[1.4799975999994786],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
98,0,98,0,5,246.46011710000312,246.46011710000312,0.013707400001294445,[-0.08449074074074074],[0.28703703703703703],[1],[0],[0],[1.6555484000055003],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
99,0,99,0,5,248.13177350000478,248.13177350000478,0.012693000004219357,[-0.47337962962962965],[0.3113425925925926],[1],[0],[0],[1.5322661000027438],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
100,0,100,0,10,249.69259720000264,249.69259720000264,0.0224069000032614,[0.09027777777777778],[-0.2037037037037037],[1],[0],[0],[1.3616145999985747],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
101,0,101,0,5,251.06597010000405,251.06597010000405,0.014112500000919681,[-0.2951388888888889],[-0.3113425925925926],[1],[0],[0],[1.4674958999967203],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
102,0,102,0,5,252.55080390000512,252.55080390000512,0.013054000002739485,[-0.4340277777777778],[0.24537037037037038],[1],[0],[0],[1.3848762000052375],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
103,0,103,0,5,253.9522539000027,253.9522539000027,0.012837000002036802,[0.4270833333333333],[0.18287037037037038],[1],[0],[0],[1.648384400003124],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
104,0,104,0,10,255.62405679999938,255.62405679999938,0.02214309999544639,[-0.39699074074074076],[-0.0625],[1],[0],[0],[1.7296410999988439],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
105,0,105,0,10,257.38616880000336,257.38616880000336,0.023065800000040326,[-0.4131944444444444],[-0.02662037037037037],[1],[0],[0],[1.3900580999979866],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
106,0,106,0,5,258.78760820000025,258.78760820000025,0.012561499999719672,[0.17708333333333334],[0.47685185185185186],[1],[0],[0],[1.3501261999990675],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
107,0,107,0,10,260.17498709999927,260.17498709999927,0.028979900002013892,[-0.09143518518518519],[-0.4722222222222222],[1],[0],[0],[1.9038718000010704],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
108,0,108,0,10,262.10370690000127,262.10370690000127,0.021835800005646888,[-0.2025462962962963],[0.3148148148148148],[1],[0],[0],[1.584379899999476],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
109,0,109,0,5,263.6992215999999,263.6992215999999,0.012245400001120288,[-0.3449074074074074],[0.2974537037037037],[1],[0],[0],[1.3302255000016885],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
110,0,110,0,10,265.05891130000236,265.05891130000236,0.023707300002570264,[0.2800925925925926],[-0.3148148148148148],[1],[0],[0],[1.735368900001049],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
111,0,111,0,5,266.8067328000034,266.8067328000034,0.012805999998818152,[0.18981481481481483],[0.4837962962962963],[1],[0],[0],[1.9826675000003888],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
112,0,112,0,10,268.81891840000026,268.81891840000026,0.022294100002909545,[0.12731481481481483],[0.3333333333333333],[1],[0],[0],[2.45886469999823],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
113,0,113,0,5,271.28836350000347,271.28836350000347,0.012336799998593051,[-0.46064814814814814],[-0.2916666666666667],[1],[0],[0],[1.4778347000028589],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
114,0,114,0,5,272.77992310000263,272.77992310000263,0.012436000004527159,[-0.03819444444444445],[-0.17939814814814814],[1],[0],[0],[2.091446200000064],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
115,0,115,0,10,274.9027292000028,274.9027292000028,0.02459630000521429,[-0.02546296296296296],[0.1388888888888889],[1],[0],[0],[1.2630272000023979],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
116,0,116,0,10,276.19303560000117,276.19303560000117,0.022270899993600324,[-0.14351851851851852],[0.36226851851851855],[1],[0],[0],[1.1958147999976063],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
117,0,117,0,5,277.40055060000304,277.40055060000304,0.01332900000124937,[0.4074074074074074],[-0.3472222222222222],[1],[0],[0],[1.5941509999975096],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
118,0,118,0,10,279.0235957000041,279.0235957000041,0.02342320000025211,[-0.43287037037037035],[0.35532407407407407],[1],[0],[0],[1.9562974000000395],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
119,0,119,0,10,281.00767530000303,281.00767530000303,0.023158700001658872,[0.34375],[0.33101851851851855],[1],[0],[0],[1.7084314999956405],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
120,0,120,0,10,282.73455600000307,282.73455600000307,0.02256830000260379,[-0.34375],[-0.2048611111111111],[1],[0],[0],[1.7160657000058563],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
121,0,121,0,10,284.48333030000504,284.48333030000504,0.02343020000262186,[0.04861111111111111],[-0.14930555555555555],[1],[0],[0],[1.7082671000025584],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
122,0,122,0,5,286.20362240000395,286.20362240000395,0.013139099995896686,[-0.2048611111111111],[-0.12962962962962962],[1],[0],[0],[1.58527000000322],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
123,0,123,0,5,287.8058400000009,287.8058400000009,0.012882600000011735,[-0.32523148148148145],[-0.009259259259259259],[1],[0],[0],[1.357810800000152],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
124,0,124,0,5,289.1797471000027,289.1797471000027,0.013281300001835916,[0.38310185185185186],[-0.3576388888888889],[1],[0],[0],[1.898727499996312],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
125,0,125,0,10,291.1081262000007,291.1081262000007,0.023501800002122764,[-0.4537037037037037],[0.46875],[1],[0],[0],[1.9575580000018817],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
126,0,126,0,10,293.0922598000034,293.0922598000034,0.022417000000132248,[0.2777777777777778],[-0.08796296296296297],[1],[0],[0],[1.667634099998395],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
127,0,127,0,10,294.78499990000273,294.78499990000273,0.024612099994556047,[-0.23958333333333334],[-0.4212962962962963],[1],[0],[0],[1.9696815999996033],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
128,0,128,0,5,296.7689659000025,296.7689659000025,0.013394699999480508,[-0.1701388888888889],[0.4664351851851852],[1],[0],[0],[1.5105273999943165],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
129,0,129,0,5,298.2951643999986,298.2951643999986,0.012916200001200195,[-0.032407407407407406],[-0.4201388888888889],[1],[0],[0],[1.7666871000037645],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
