trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,22.9055658999132,22.9055658999132,0.07789770001545548,[0.26481481481481484],[0.3685185185185185],[1],[0],[0],[2.5890990999760106],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
1,0,1,0,5,25.48969939991366,25.48969939991366,0.012936100014485419,[0.006481481481481481],[0.25],[1],[0],[0],[1.9035958999302238],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
2,0,2,0,5,27.408403299981728,27.408403299981728,0.012727299937978387,[0.06388888888888888],[0.12222222222222222],[1],[0],[0],[1.315509199979715],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
3,0,3,0,10,28.756023099995218,28.756023099995218,0.023496299982070923,[0.09907407407407408],[0.4324074074074074],[1],[0],[0],[1.5395010000793263],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
4,0,4,0,5,30.30516639992129,30.30516639992129,0.01156819995958358,[0.4305555555555556],[0.04351851851851852],[1],[0],[0],[1.7860742000630125],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
5,0,5,0,10,32.1280552999815,32.1280552999815,0.027502599987201393,[-0.5027777777777778],[-0.4],[1],[0],[0],[1.7170166000723839],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
6,0,6,0,10,33.871658799936995,33.871658799936995,0.023575800005346537,[-0.16944444444444445],[0.24537037037037038],[1],[0],[0],[1.7575414000311866],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
7,0,7,0,10,35.6556662999792,35.6556662999792,0.023688600049354136,[-0.262037037037037],[0.08425925925925926],[1],[0],[0],[1.373877300065942],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
8,0,8,0,5,37.04620599991176,37.04620599991176,0.015968300052918494,[0.05277777777777778],[-0.03425925925925926],[1],[0],[0],[1.3803586000576615],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
9,0,9,0,5,38.44268839992583,38.44268839992583,0.012335100094787776,[-0.48333333333333334],[0.39166666666666666],[1],[0],[0],[2.1509450000012293],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
10,0,10,0,5,40.61025659996085,40.61025659996085,0.012586699915118515,[0.41944444444444445],[-0.2064814814814815],[1],[0],[0],[1.5507252999814227],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
11,0,11,0,10,42.19284749997314,42.19284749997314,0.02359750005416572,[0.22314814814814815],[-0.12407407407407407],[1],[0],[0],[1.972967200097628],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
12,0,12,0,5,44.176222599926405,44.176222599926405,0.011610399931669235,[0.1425925925925926],[0.12314814814814815],[1],[0],[0],[1.4020960999187082],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
13,0,13,0,10,45.610642899991944,45.610642899991944,0.02401069994084537,[0.41944444444444445],[0.1361111111111111],[1],[0],[0],[1.7555702000390738],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
14,0,14,0,10,47.39275849994738,47.39275849994738,0.022743699955753982,[0.4287037037037037],[-0.4027777777777778],[1],[0],[0],[2.975145800039172],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
15,0,15,0,5,50.38713889999781,50.38713889999781,0.017712799948640168,[-0.1],[0.24722222222222223],[1],[0],[0],[1.4608311000047252],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
16,0,16,0,5,51.8637220999226,51.8637220999226,0.012920900015160441,[-0.337037037037037],[-0.2796296296296296],[1],[0],[0],[1.4829282000428066],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
17,0,17,0,10,53.378665299969725,53.378665299969725,0.02329270006157458,[-0.3277777777777778],[-0.40370370370370373],[1],[0],[0],[1.6893870999338105],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
18,0,18,0,5,55.07906349992845,55.07906349992845,0.012016699998639524,[-0.026851851851851852],[-0.42314814814814816],[1],[0],[0],[1.752421100041829],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
19,0,19,0,10,56.8638251000084,56.8638251000084,0.02468169992789626,[0.2740740740740741],[0.12962962962962962],[1],[0],[0],[1.5716423999983817],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
20,0,20,0,10,58.46214309998322,58.46214309998322,0.023951300070621073,[0.47129629629629627],[0.17222222222222222],[1],[0],[0],[1.4571319000096992],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
21,0,21,0,10,59.946063299896196,59.946063299896196,0.023817099980078638,[0.362962962962963],[-0.1638888888888889],[1],[0],[0],[1.4067958999658003],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
22,0,22,0,10,61.37957409990486,61.37957409990486,0.023822100018151104,[-0.4546296296296296],[-0.30185185185185187],[1],[0],[0],[1.9737261000555009],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
23,0,23,0,5,63.3644089999143,63.3644089999143,0.01120840001385659,[0.19074074074074074],[-0.03148148148148148],[1],[0],[0],[2.0530638000927866],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
24,0,24,0,10,65.44767969998065,65.44767969998065,0.023564099916256964,[-0.43796296296296294],[0.17685185185185184],[1],[0],[0],[2.2575392000144348],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
25,0,25,0,10,67.73463229998015,67.73463229998015,0.024789199931547046,[-0.2324074074074074],[0.03425925925925926],[1],[0],[0],[1.6546657999278978],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
26,0,26,0,5,69.400347399991,69.400347399991,0.012362900073640049,[0.025925925925925925],[0.2712962962962963],[1],[0],[0],[1.5514002999989316],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
27,0,27,0,10,70.98314599995501,70.98314599995501,0.023379100020974874,[0.3972222222222222],[0.22870370370370371],[1],[0],[0],[1.5065775000257418],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
28,0,28,0,10,72.51696529996116,72.51696529996116,0.02306989999487996,[0.23703703703703705],[-0.1814814814814815],[1],[0],[0],[1.5741041000001132],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
29,0,29,0,5,74.1010743000079,74.1010743000079,0.01199039991479367,[-0.026851851851851852],[-0.18703703703703703],[1],[0],[0],[1.7520415999460965],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
30,0,30,0,10,75.88472339999862,75.88472339999862,0.02341530006378889,[0.3388888888888889],[0.39444444444444443],[1],[0],[0],[2.7904327999567613],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
31,0,31,0,10,78.70205369999167,78.70205369999167,0.023918700055219233,[0.3490740740740741],[0.032407407407407406],[1],[0],[0],[1.590008500032127],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
32,0,32,0,5,80.30422159994487,80.30422159994487,0.011981999967247248,[0.0787037037037037],[-0.14166666666666666],[1],[0],[0],[1.8856090999906883],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
33,0,33,0,10,82.22127259999979,82.22127259999979,0.02308489999268204,[-0.29259259259259257],[-0.27685185185185185],[1],[0],[0],[3.5740965999430045],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
34,0,34,0,5,85.80405509995762,85.80405509995762,0.011745199910365045,[-0.09537037037037037],[0.0],[1],[0],[0],[2.1189580999780446],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
35,0,35,0,5,87.94000609999057,87.94000609999057,0.012417299905791879,[0.1787037037037037],[0.2462962962962963],[1],[0],[0],[3.1512097999220714],[0],['target'],694694,001,2023-09-28_14h56.00.321,visualsearch,2023.1.3,59.968756277437926,
