trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,147.99959710007533,147.99959710007533,0.027940499945543706,[-0.3685185185185185],[0.4083333333333333],[1],[0],[0],[3.1595265000360087],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
1,0,1,0,10,151.18489270005375,151.18489270005375,0.02291599998716265,[0.07222222222222222],[-0.42407407407407405],[1],[0],[0],[3.2737043999368325],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
2,0,2,0,10,154.48552029998973,154.48552029998973,0.024334700079634786,[-0.07407407407407407],[-0.4740740740740741],[1],[0],[0],[2.6233088000444695],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
3,0,3,0,5,157.11923760001082,157.11923760001082,0.011324600083753467,[0.09074074074074075],[0.16574074074074074],[1],[0],[0],[3.003379000001587],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
4,0,4,0,5,160.13917010009754,160.13917010009754,0.012430400005541742,[-0.4648148148148148],[0.2962962962962963],[1],[0],[0],[3.0509739000117406],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
5,0,5,0,10,163.23770679999143,163.23770679999143,0.036955100018531084,[0.36574074074074076],[-0.12962962962962962],[1],[0],[0],[3.2079668999649584],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
6,0,6,0,10,166.47797710006125,166.47797710006125,0.024837200064212084,[0.48055555555555557],[-0.22407407407407406],[1],[0],[0],[2.0210272000404075],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
7,0,7,0,5,168.51007489999756,168.51007489999756,0.014901299960911274,[-0.2898148148148148],[-0.11851851851851852],[1],[0],[0],[2.2151745000155643],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
8,0,8,0,10,170.75656010000966,170.75656010000966,0.02303899999242276,[0.2462962962962963],[0.18333333333333332],[1],[0],[0],[1.7745813999790698],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
9,0,9,0,5,172.55779320001602,172.55779320001602,0.021135800052434206,[-0.4648148148148148],[0.1537037037037037],[1],[0],[0],[1.7221965999342501],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
