trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
10,0,10,0,5,174.29942749999464,174.29942749999464,0.015868999995291233,[-0.26851851851851855],[0.45555555555555555],[1],[0],[0],[1.8779478000942618],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
11,0,11,0,5,176.1932771001011,176.1932771001011,0.012483600061386824,[-0.12222222222222222],[-0.35555555555555557],[1],[0],[0],[2.1672044000588357],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
12,0,12,0,10,178.39225740008987,178.39225740008987,0.023300100001506507,[-0.48055555555555557],[0.2101851851851852],[1],[0],[0],[1.973491600016132],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
13,0,13,0,5,180.37577430007514,180.37577430007514,0.011204499984160066,[-0.48055555555555557],[0.2101851851851852],[1],[0],[0],[0.6692569999722764],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
14,0,14,0,10,181.07735590008087,181.07735590008087,0.024759299936704338,[0.007407407407407408],[-0.4166666666666667],[1],[0],[0],[2.2554098999826238],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
15,0,15,0,10,183.358429600019,183.358429600019,0.022805800079368055,[-0.34629629629629627],[-0.2361111111111111],[1],[0],[0],[1.874888899968937],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
16,0,16,0,10,185.26301490003243,185.26301490003243,0.025998400058597326,[0.23425925925925925],[-0.37962962962962965],[1],[0],[0],[2.336736200028099],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
17,0,17,0,10,187.68755600007717,187.68755600007717,0.08362649998161942,[-0.43148148148148147],[-0.08333333333333333],[1],[0],[0],[1.7301933000562713],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
18,0,18,0,5,189.42944109998643,189.42944109998643,0.012101100059226155,[0.11018518518518519],[-0.025925925925925925],[1],[0],[0],[1.718906500027515],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
19,0,19,0,5,191.17250690003857,191.17250690003857,0.018156300066038966,[-0.28055555555555556],[0.19074074074074074],[1],[0],[0],[1.392505700001493],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
20,0,20,0,10,192.5968568000244,192.5968568000244,0.024331700056791306,[0.375],[-0.12685185185185185],[1],[0],[0],[2.0225496999919415],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
21,0,21,0,5,194.63475600001402,194.63475600001402,0.013851800002157688,[0.24259259259259258],[0.3175925925925926],[1],[0],[0],[1.5810687999473885],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
22,0,22,0,10,196.25656790006906,196.25656790006906,0.03318349993787706,[0.2861111111111111],[-0.2175925925925926],[1],[0],[0],[2.263901599915698],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
23,0,23,0,5,198.53186300001107,198.53186300001107,0.011943100020289421,[-0.11481481481481481],[0.26481481481481484],[1],[0],[0],[1.60188690002542],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
24,0,24,0,5,200.15290530002676,200.15290530002676,0.013259500032290816,[0.011111111111111112],[0.07314814814814814],[1],[0],[0],[1.5645192000083625],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
25,0,25,0,10,201.75016679998953,201.75016679998953,0.02532509993761778,[0.06666666666666667],[-0.34814814814814815],[1],[0],[0],[1.7213608999736607],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
26,0,26,0,5,203.48262340005022,203.48262340005022,0.012081399909220636,[0.2361111111111111],[0.05648148148148148],[1],[0],[0],[1.3188332999125123],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
27,0,27,0,5,204.81789659999777,204.81789659999777,0.012388100032694638,[-0.45740740740740743],[-0.42407407407407405],[1],[0],[0],[1.7339335000142455],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
28,0,28,0,10,206.5959399000276,206.5959399000276,0.0339240999892354,[0.12222222222222222],[-0.19444444444444445],[1],[0],[0],[1.960584199987352],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
29,0,29,0,10,208.58844980003778,208.58844980003778,0.03009140002541244,[-0.44074074074074077],[-0.24444444444444444],[1],[0],[0],[1.4668773000594229],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
30,0,30,0,10,210.08246810000855,210.08246810000855,0.023105699918232858,[0.13055555555555556],[-0.03888888888888889],[1],[0],[0],[1.8743450999027118],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
31,0,31,0,10,212.00640370009933,212.00640370009933,0.036143200006335974,[-0.07314814814814814],[-0.2101851851851852],[1],[0],[0],[1.5428777000634],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
32,0,32,0,10,213.56896569998935,213.56896569998935,0.025495799956843257,[0.4962962962962963],[-0.09351851851851851],[1],[0],[0],[2.42203390004579],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
33,0,33,0,10,216.01648980006576,216.01648980006576,0.02228350006043911,[0.48518518518518516],[-0.33796296296296297],[1],[0],[0],[2.2416607999475673],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
34,0,34,0,5,218.269972100039,218.269972100039,0.012325799907557666,[-0.21481481481481482],[-0.10092592592592593],[1],[0],[0],[1.3019369000103325],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
35,0,35,0,5,219.58882950001862,219.58882950001862,0.012467400054447353,[0.07592592592592592],[0.05092592592592592],[1],[0],[0],[1.617613699985668],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
36,0,36,0,5,221.22330449998844,221.22330449998844,0.013182499911636114,[-0.1787037037037037],[0.04537037037037037],[1],[0],[0],[1.4162355000153184],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
37,0,37,0,10,222.6717009000713,222.6717009000713,0.02264790004119277,[0.30092592592592593],[0.38981481481481484],[1],[0],[0],[1.6240140000591055],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
38,0,38,0,5,224.30548710003495,224.30548710003495,0.012433400028385222,[-0.26481481481481484],[0.10185185185185185],[1],[0],[0],[1.6014480999438092],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
39,0,39,0,10,225.94242209999356,225.94242209999356,0.0273147999541834,[0.12129629629629629],[0.07037037037037037],[1],[0],[0],[1.8198035000823438],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
40,0,40,0,10,227.78743780008517,227.78743780008517,0.023393699899315834,[-0.3907407407407407],[-0.1712962962962963],[1],[0],[0],[1.7735761000076309],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
41,0,41,0,10,229.58739710005466,229.58739710005466,0.022927999962121248,[0.10555555555555556],[0.125],[1],[0],[0],[1.574502700008452],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
42,0,42,0,10,231.1884444000898,231.1884444000898,0.02355190005619079,[-0.42314814814814816],[-0.46944444444444444],[1],[0],[0],[5.7583195000188425],[],[],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
43,0,43,0,10,236.97368130006362,236.97368130006362,0.02349120005965233,[-0.32314814814814813],[0.4888888888888889],[1],[0],[0],[4.241635200101882],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
44,0,44,0,5,241.2266264000209,241.2266264000209,0.012062599998898804,[-0.2712962962962963],[-0.2935185185185185],[1],[0],[0],[2.3353868999984115],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
45,0,45,0,10,243.5921767000109,243.5921767000109,0.022704699891619384,[-0.08518518518518518],[-0.337037037037037],[1],[0],[0],[2.2238821999635547],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
46,0,46,0,10,245.84763060009573,245.84763060009573,0.026284600025974214,[-0.15],[0.49444444444444446],[1],[0],[0],[2.6525258000474423],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
47,0,47,0,10,248.53005629999097,248.53005629999097,0.027036800049245358,[-0.075],[-0.23703703703703705],[1],[0],[0],[2.4541435999562964],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
48,0,48,0,5,250.99826340004802,250.99826340004802,0.015131799969822168,[0.024074074074074074],[0.4185185185185185],[1],[0],[0],[1.9827400000067428],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
49,0,49,0,10,253.04105820006225,253.04105820006225,0.04147759999614209,[0.12685185185185185],[-0.19444444444444445],[1],[0],[0],[2.2363170000026003],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
50,0,50,0,10,255.32824180007447,255.32824180007447,0.046398699982091784,[-0.13425925925925927],[0.23333333333333334],[1],[0],[0],[1.59670080000069],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
51,0,51,0,10,256.96724770008586,256.96724770008586,0.03591440001036972,[-0.1935185185185185],[-0.36574074074074076],[1],[0],[0],[2.508523099939339],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
52,0,52,0,5,259.4815117000835,259.4815117000835,0.01243830006569624,[0.3037037037037037],[0.25462962962962965],[1],[0],[0],[1.5020755999721587],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
53,0,53,0,10,261.0201647999929,261.0201647999929,0.028109500068239868,[0.37037037037037035],[-0.14907407407407408],[1],[0],[0],[3.7514240000164136],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
54,0,54,0,10,264.7959196000593,264.7959196000593,0.02244329999666661,[0.2638888888888889],[-0.38055555555555554],[1],[0],[0],[1.4419275999534875],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
55,0,55,0,5,266.2514429000439,266.2514429000439,0.014379199943505228,[0.25925925925925924],[-0.4787037037037037],[1],[0],[0],[2.066517800092697],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
56,0,56,0,5,268.3353204000741,268.3353204000741,0.012063100002706051,[0.38796296296296295],[0.15925925925925927],[1],[0],[0],[1.450901500065811],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
57,0,57,0,5,269.802598600043,269.802598600043,0.013170300051569939,[0.01574074074074074],[-0.35555555555555557],[1],[0],[0],[1.6166190999792889],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
58,0,58,0,5,271.43422420008574,271.43422420008574,0.011953199980780482,[0.005555555555555556],[0.32037037037037036],[1],[0],[0],[1.4683802999788895],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
59,0,59,0,5,272.92298969998956,272.92298969998956,0.014216599985957146,[0.4842592592592593],[-0.06944444444444445],[1],[0],[0],[2.28063779999502],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
60,0,60,0,10,275.23734039999545,275.23734039999545,0.022643500007689,[0.1638888888888889],[0.10555555555555556],[1],[0],[0],[1.7403396998997778],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
61,0,61,0,10,277.0011816000333,277.0011816000333,0.023214300046674907,[-0.003703703703703704],[-0.47314814814814815],[1],[0],[0],[2.657741100061685],[],[],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
62,0,62,0,5,279.68396950000897,279.68396950000897,0.015367600019089878,[0.4222222222222222],[0.4361111111111111],[1],[0],[0],[1.6640431999694556],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
63,0,63,0,5,281.35430960007943,281.35430960007943,0.012254299945198,[0.3],[0.07777777777777778],[1],[0],[0],[1.2677846000296995],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
64,0,64,0,5,282.63892270007636,282.63892270007636,0.012412299984134734,[0.19814814814814816],[-0.12129629629629629],[1],[0],[0],[1.5005282000638545],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
65,0,65,0,5,284.1788586000912,284.1788586000912,0.02749100001528859,[0.3351851851851852],[-0.34814814814814815],[1],[0],[0],[1.8329736000159755],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
66,0,66,0,5,286.029280000017,286.029280000017,0.016898600035347044,[0.019444444444444445],[0.1574074074074074],[1],[0],[0],[1.443584299995564],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
67,0,67,0,10,287.53215069998987,287.53215069998987,0.04131689993664622,[0.325],[-0.3398148148148148],[1],[0],[0],[1.5030744000105187],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
68,0,68,0,5,289.0629784000339,289.0629784000339,0.02740390005055815,[-0.10462962962962963],[-0.4462962962962963],[1],[0],[0],[1.8842230999143794],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
69,0,69,0,10,290.9747644000454,290.9747644000454,0.025933700031600893,[-0.29444444444444445],[-0.03333333333333333],[1],[0],[0],[1.5043291000183672],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
70,0,70,0,10,292.50466600002255,292.50466600002255,0.022651699953712523,[-0.2101851851851852],[0.04537037037037037],[1],[0],[0],[1.2408707999857143],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
71,0,71,0,10,293.77375970000867,293.77375970000867,0.023289700038731098,[0.41574074074074074],[0.18888888888888888],[1],[0],[0],[1.6909363000886515],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
72,0,72,0,5,295.4736019000411,295.4736019000411,0.011228500050492585,[-0.15648148148148147],[0.48055555555555557],[1],[0],[0],[1.736295000067912],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
73,0,73,0,5,297.2262455000309,297.2262455000309,0.012654099962674081,[0.20277777777777778],[-0.4203703703703704],[1],[0],[0],[1.85104669991415],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
74,0,74,0,5,299.0919180000201,299.0919180000201,0.011657200055196881,[0.0962962962962963],[-0.026851851851851852],[1],[0],[0],[1.4346135000232607],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
75,0,75,0,10,300.56739139999263,300.56739139999263,0.030333600006997585,[-0.22685185185185186],[-0.05277777777777778],[1],[0],[0],[1.9808461000211537],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
76,0,76,0,5,302.5592941000359,302.5592941000359,0.01176689995918423,[-0.3453703703703704],[0.19074074074074074],[1],[0],[0],[1.5188228000188246],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
77,0,77,0,5,304.1082627000287,304.1082627000287,0.022135599981993437,[0.1935185185185185],[-0.45],[1],[0],[0],[1.8549579000100493],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
78,0,78,0,10,306.0314099000534,306.0314099000534,0.04780719999689609,[-0.1259259259259259],[0.39814814814814814],[1],[0],[0],[2.2291228999383748],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
79,0,79,0,10,308.27806700009387,308.27806700009387,0.024919499992392957,[0.34629629629629627],[0.29259259259259257],[1],[0],[0],[1.5222744999919087],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
80,0,80,0,5,309.81172680004966,309.81172680004966,0.012674099998548627,[0.012962962962962963],[-0.12962962962962962],[1],[0],[0],[1.6012742000166327],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
81,0,81,0,5,311.43002450000495,311.43002450000495,0.013101399992592633,[0.032407407407407406],[0.08333333333333333],[1],[0],[0],[1.3663844999391586],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
82,0,82,0,5,312.814881300088,312.814881300088,0.011979999952018261,[0.47129629629629627],[0.19074074074074074],[1],[0],[0],[1.2344017999712378],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
83,0,83,0,5,314.07051520003006,314.07051520003006,0.01762679999228567,[0.337037037037037],[-0.09722222222222222],[1],[0],[0],[1.4125281000742689],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
84,0,84,0,5,315.497938000015,315.497938000015,0.012566299992613494,[0.21944444444444444],[0.23425925925925925],[1],[0],[0],[1.3000778999412432],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
85,0,85,0,5,316.8375233000843,316.8375233000843,0.02535729994997382,[-0.31203703703703706],[0.03425925925925926],[1],[0],[0],[1.4847310000332072],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
86,0,86,0,10,318.3521114999894,318.3521114999894,0.028128899983130395,[0.2324074074074074],[-0.487962962962963],[1],[0],[0],[2.349915499915369],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
87,0,87,0,5,320.7190579000162,320.7190579000162,0.015209399978630245,[0.44166666666666665],[-0.32314814814814813],[1],[0],[0],[1.8304616999812424],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
88,0,88,0,10,322.58805140003096,322.58805140003096,0.02949260000605136,[0.016666666666666666],[0.049074074074074076],[1],[0],[0],[1.3313328000949696],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
89,0,89,0,5,323.93173240008764,323.93173240008764,0.01153869996778667,[-0.4388888888888889],[0.10833333333333334],[1],[0],[0],[1.819184200023301],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
90,0,90,0,5,325.7666343000019,325.7666343000019,0.012340500019490719,[-0.35833333333333334],[-0.12407407407407407],[1],[0],[0],[1.5507227999623865],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
91,0,91,0,10,327.3505899000447,327.3505899000447,0.024402099894359708,[-0.37962962962962965],[0.011111111111111112],[1],[0],[0],[1.555969599983655],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
92,0,92,0,5,328.9189908000408,328.9189908000408,0.013189899967983365,[0.2537037037037037],[0.04814814814814815],[1],[0],[0],[2.015863100066781],[],[],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
93,0,93,0,10,330.9675051000668,330.9675051000668,0.024282700032927096,[0.3037037037037037],[-0.4185185185185185],[1],[0],[0],[3.6726664999732748],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
94,0,94,0,10,334.6660633001011,334.6660633001011,0.023205899982713163,[0.012962962962962963],[-0.07222222222222222],[1],[0],[0],[1.6072500000009313],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
95,0,95,0,10,336.29992350004613,336.29992350004613,0.023547699907794595,[0.13703703703703704],[-0.12037037037037036],[1],[0],[0],[1.5071346999611706],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
96,0,96,0,5,337.8182574000675,337.8182574000675,0.011348200030624866,[0.2074074074074074],[0.3592592592592593],[1],[0],[0],[1.6857984999660403],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
97,0,97,0,5,339.5198945000302,339.5198945000302,0.01219509996008128,[-0.27314814814814814],[0.34444444444444444],[1],[0],[0],[1.4846311999717727],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
98,0,98,0,5,341.02534260007087,341.02534260007087,0.01462939998600632,[0.22592592592592592],[0.16203703703703703],[1],[0],[0],[1.5132583000231534],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
99,0,99,0,10,342.59887210000306,342.59887210000306,0.043371899984776974,[0.11944444444444445],[0.4962962962962963],[1],[0],[0],[3.6505604999838397],[],[],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
100,0,100,0,10,346.2875508000143,346.2875508000143,0.03302339999936521,[0.05092592592592592],[0.05092592592592592],[1],[0],[0],[1.9126243999926373],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
101,0,101,0,10,348.2467305000173,348.2467305000173,0.03867719997651875,[0.30092592592592593],[-0.17222222222222222],[1],[0],[0],[2.0574354000855237],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
102,0,102,0,5,350.30515230004676,350.30515230004676,0.011837800033390522,[-0.016666666666666666],[-0.3074074074074074],[1],[0],[0],[1.6019567999755964],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
103,0,103,0,5,351.92337780003436,351.92337780003436,0.012052700039930642,[-0.4101851851851852],[0.06388888888888888],[1],[0],[0],[1.8510047000600025],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
104,0,104,0,5,353.79049929999746,353.79049929999746,0.012085400056093931,[-0.30462962962962964],[0.15462962962962962],[1],[0],[0],[1.3844221999170259],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
105,0,105,0,10,355.21162070007995,355.21162070007995,0.025730199995450675,[0.4824074074074074],[-0.08425925925925926],[1],[0],[0],[2.7856618999503553],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
106,0,106,0,10,358.0232834999915,358.0232834999915,0.022807499975897372,[0.09814814814814815],[-0.31666666666666665],[1],[0],[0],[2.307935699936934],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
107,0,107,0,10,360.356422000099,360.356422000099,0.02212760003749281,[-0.032407407407407406],[0.10925925925925926],[1],[0],[0],[2.108830999932252],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
108,0,108,0,5,362.47592750005424,362.47592750005424,0.01172389998100698,[-0.28888888888888886],[0.06111111111111111],[1],[0],[0],[1.3185997999971732],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
109,0,109,0,10,363.8278554000426,363.8278554000426,0.023525400087237358,[-0.08888888888888889],[0.47129629629629627],[1],[0],[0],[4.140291700023226],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
110,0,110,0,10,367.9934757000301,367.9934757000301,0.023135800031013787,[0.3388888888888889],[-0.17685185185185184],[1],[0],[0],[2.1414758000755683],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
111,0,111,0,5,370.14591580000706,370.14591580000706,0.012568700010888278,[-0.4527777777777778],[0.3611111111111111],[1],[0],[0],[1.9681027000769973],[0],['target'],4,001,2023-09-28_15h06.10.895,visualsearch,2023.1.3,59.963434298561936,
